"rating_column","name_column"
"libcon_1","dem_ex_1"
"libcon_2","rep_ex_1"
"libcon_3","dem_ex_2"
"libcon_4","rep_ex_2"
"libcon_5","dem_ex_mc"
"libcon_6","rep_ex_mc"
