name,cfscore
al gore,-0.8259672522544861
barack obama,-1.3023176193237305
barney frank,-0.9314275979995728
bill clinton,-0.8249882459640503
chris christie,0.4823886454105377
elizabeth warren,-1.6266242265701294
eric cantor,0.5908005833625793
george bush,0.7957313060760498
george w bush,0.9224604964256287
harry reid,-0.6072872877120972
hillary clinton,-1.1018933057785034
jeb bush,0.7305134534835815
jimmy carter,-0.36170026659965515
joe biden,-0.740168035030365
john boehner,0.9483602643013
john kerry,-0.8986389636993408
john mccain,0.6708474159240723
jon huntsman,0.5687297582626343
kevin mccarthy,0.6594295501708984
marco rubio,1.1553274393081665
max baucus,-0.41664135456085205
michele bachmann,1.3706917762756348
mitch mcconnell,0.6765114068984985
mitt romney,0.8761451840400696
nancy pelosi,-0.9585235118865967
newt gingrich,1.1246625185012817
paul ryan,1.1435400247573853
rand paul,1.4278861284255981
rick perry,1.0940923690795898
ronald reagan,1.0126800537109375
sarah palin,1.2110118865966797
ted cruz,1.3138856887817383
ted kennedy,-0.8227689266204834
